ID,BUG_TYPE,FILE_PATH,LINE_NUMBER,BUG_DESCRIPTION
1518461646.8500428___27,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,179,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 176 is not released after line 179
1518461646.8500428___28,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,371,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 368 is not released after line 371
1518461646.8500428___29,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,375,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 368 is not released after line 375
1518461646.8500428___30,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,234,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 231 is not released after line 234
1518461646.8500428___31,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,245,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 243 is not released after line 245
1518461646.8500428___32,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,233,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 231 is not released after line 233
1518461646.8500428___33,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,246,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 243 is not released after line 246
1518461646.8500428___34,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,163,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 160 is not released after line 163
1518461646.8500428___35,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,162,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 160 is not released after line 162
1518461646.8500428___36,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,165,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 160 is not released after line 165
1518461646.8500428___37,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,146,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 143 is not released after line 146
1518461646.8500428___38,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,148,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 143 is not released after line 148
1518461646.8500428___39,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,145,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 143 is not released after line 145
1518461646.8500428___40,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,261,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 259 is not released after line 261
1518461646.8500428___41,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,265,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 259 is not released after line 265
1518461646.8500428___42,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,209,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 203 is not released after line 209
1518461646.8500428___43,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/dataobjects/TransactionDataObject.java,205,   resource of type `android.database.sqlite.SQLiteCursor` acquired to `c` by call to `rawQuery(...)` at line 203 is not released after line 205
1518461646.8500428___44,NULL_DEREFERENCE,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/envelopes/EnvelopeSettingsDialogFragment.java,183,  object `envelope` last assigned on line 176 could be null and is dereferenced at line 183
1518461646.8500428___45,NULL_DEREFERENCE,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/envelopes/EnvelopeSettingsDialogFragment.java,228,  object `envelope` last assigned on line 225 could be null and is dereferenced at line 228
1518461646.8500428___46,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/network/BudgetEnvelopesAsyncTask.java,378,   resource of type `java.io.FileOutputStream` acquired to `outStream` by call to `FileOutputStream(...)` at line 372 is not released after line 378
1518461646.8500428___47,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/network/BudgetEnvelopesAsyncTask.java,378,   resource of type `java.io.FileInputStream` acquired to `inStream` by call to `FileInputStream(...)` at line 371 is not released after line 378
1518461646.8500428___48,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/network/BudgetEnvelopesAsyncTask.java,410,   resource of type `java.io.FileOutputStream` acquired by call to `FileOutputStream(...)` at line 396 is not released after line 410
1518461646.8500428___49,CONTEXT_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/network/BudgetEnvelopesSyncService.java,92,  Context com.marcuscalidus.budgetenvelopes.network.BudgetEnvelopesSyncService may leak during method `com.marcuscalidus.budgetenvelopes.network.BudgetEnvelopesSyncService.onConnected`:
1518461646.8500428___50,RESOURCE_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/network/DatabaseSyncAsyncTask.java,143,   resource of type `java.io.FileOutputStream` acquired to `tokenStream` by call to `FileOutputStream(...)` at line 137 is not released after line 143
1518461646.8500428___51,CONTEXT_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/network/SyncActivity.java,159,  Context com.marcuscalidus.budgetenvelopes.network.SyncActivity may leak during method `com.marcuscalidus.budgetenvelopes.network.SyncActivity.onConnected`:
1518461646.8500428___52,CONTEXT_LEAK,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/network/SyncActivity.java,159,  Context com.marcuscalidus.budgetenvelopes.network.SyncActivity may leak during method `com.marcuscalidus.budgetenvelopes.network.SyncActivity.onConnected`:
1518461646.8500428___53,NULL_DEREFERENCE,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/transactions/DistributionDialogFragment.java,136,  object `baseEnvelope` last assigned on line 135 could be null and is dereferenced at line 136
1518461646.8500428___54,NULL_DEREFERENCE,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/transactions/DistributionDialogFragment.java,104,  object `baseEnvelope` last assigned on line 103 could be null and is dereferenced at line 104
1518461646.8500428___55,NULL_DEREFERENCE,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/transactions/TransactionDialogFragment.java,202,  object `envelope` last assigned on line 169 could be null and is dereferenced at line 202
1518461646.8500428___56,NULL_DEREFERENCE,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/transactions/TransactionListArrayAdapter.java,97,  object `envelope` last assigned on line 94 could be null and is dereferenced at line 97
1518461646.8500428___57,NULL_DEREFERENCE,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/transactions/TransactionListArrayAdapter.java,100,  object `envelope` last assigned on line 98 could be null and is dereferenced at line 100
1518461646.8500428___58,NULL_DEREFERENCE,budgetEnvelopes/src/main/java/com/marcuscalidus/budgetenvelopes/transactions/TransactionsFragment.java,94,  object `envelope` last assigned on line 93 could be null and is dereferenced by call to `getTransactionsBetween(...)` at line 94
